index,t,x,y,z,yaw_deg,gear,vx,vy,wz
0,121.74,-0.0113,-0.1357,-1.0808,68.95,disable,0.0,0.0,0.0
1,121.958,-0.0113,-0.1356,-1.0807,68.949,disable,0.0,0.0,0.0
2,122.172,-0.0113,-0.1356,-1.0807,68.947,disable,0.0,0.0,0.0
3,122.384,-0.0112,-0.1359,-1.0809,68.949,disable,0.0,0.0,0.0
4,122.594,-0.0112,-0.1359,-1.0808,68.948,disable,0.0,0.0,0.0
5,122.809,-0.0112,-0.1358,-1.0808,68.948,disable,0.0,0.0,0.0
6,123.028,-0.0113,-0.1357,-1.0809,68.95,disable,0.0,0.0,0.0
7,123.239,-0.0113,-0.1357,-1.0808,68.948,disable,0.0,0.0,0.0
8,123.46,-0.0113,-0.1357,-1.0808,68.944,disable,0.0,0.0,0.0
9,123.671,-0.0114,-0.1357,-1.0808,68.941,disable,0.0,0.0,0.0
10,123.881,-0.0113,-0.1356,-1.0807,68.941,disable,0.0,0.0,0.0
11,124.098,-0.0114,-0.1357,-1.0808,68.941,disable,0.0,0.0,0.0
12,124.309,-0.0115,-0.1357,-1.0808,68.941,disable,0.0,0.0,0.0
13,124.519,-0.0114,-0.1357,-1.0807,68.942,disable,0.0,0.0,0.0
14,124.731,-0.0113,-0.1357,-1.0807,68.944,disable,0.0,0.0,0.0
15,124.943,-0.0113,-0.1357,-1.0808,68.945,disable,0.0,0.0,0.0
16,125.154,-0.0113,-0.1357,-1.0808,68.943,disable,0.0,0.0,0.0
17,125.369,-0.0113,-0.1357,-1.0808,68.943,disable,0.0,0.0,0.0
18,125.592,-0.0113,-0.1358,-1.0809,68.943,disable,0.0,0.0,0.0
19,125.802,-0.0102,-0.1328,-1.0808,68.948,disable,0.0,0.0,0.0
20,126.028,-0.0079,-0.1255,-1.0813,68.94,disable,0.0,0.0,0.0
21,126.245,-0.0056,-0.1183,-1.0814,68.932,disable,0.0,0.0,0.0
22,126.458,0.009,-0.0776,-1.0813,68.893,4t4d,0.0,0.0,0.0
23,126.67,0.0141,-0.0638,-1.0813,68.873,4t4d,0.0,0.0,0.0
24,126.881,0.0327,-0.014,-1.0812,68.77,4t4d,0.003,0.0,0.0
25,127.099,0.0459,0.0216,-1.0813,68.69,4t4d,0.029,0.0,0.0
26,127.324,0.0589,0.0566,-1.0814,68.645,4t4d,0.087,0.0,0.0
27,127.536,0.0784,0.1084,-1.0817,68.547,4t4d,0.12,0.0,0.0
28,127.751,0.0849,0.1255,-1.0816,68.527,4t4d,0.121,0.0,0.0
29,127.962,0.1038,0.1751,-1.0813,68.46,4t4d,0.157,0.0,0.0
30,128.172,0.1102,0.1922,-1.0813,68.434,4t4d,0.209,0.0,0.0
31,128.382,0.1294,0.2436,-1.0814,68.334,4t4d,0.185,0.0,0.0
32,128.59,0.1428,0.2786,-1.0822,68.274,4t4d,0.201,0.0,0.0
33,128.8,0.1567,0.3155,-1.0824,68.222,4t4d,0.196,0.0,0.0
34,129.011,0.1709,0.3528,-1.0829,68.177,4t4d,0.194,0.0,0.0
35,129.221,0.1931,0.4107,-1.0851,67.992,4t4d,0.192,0.0,0.0
36,129.43,0.2,0.4275,-1.088,67.587,4t4d,0.191,0.0,0.0
37,129.641,0.2238,0.4788,-1.09,64.944,4t4d,0.189,0.0,0.0
38,129.851,0.2386,0.5073,-1.0933,62.615,4t4d,0.22,0.0,0.0
39,130.067,0.2461,0.5243,-1.0985,61.513,4t4d,0.214,0.0,0.0
40,130.284,0.2683,0.5681,-1.1014,60.545,4t4d,0.23,0.0,0.0
41,130.497,0.2941,0.6134,-1.1052,58.015,4t4d,0.222,0.0,-4.31
42,130.72,0.313,0.6445,-1.1103,57.344,4t4d,0.208,0.0,-9.32
43,130.94,0.3464,0.6986,-1.1178,56.917,4t4d,0.198,0.0,-12.26
44,131.151,0.3562,0.7143,-1.1199,56.884,4t4d,0.202,0.0,-7.56
45,131.372,0.3794,0.7506,-1.1255,56.816,4t4d,0.179,0.0,-3.11
46,131.595,0.4247,0.827,-1.1408,57.096,4t4d,0.223,0.0,-8.17
47,131.813,0.4453,0.8617,-1.1455,58.008,4t4d,0.198,0.0,-3.8
48,132.024,0.4707,0.9058,-1.1523,59.324,4t4d,0.225,0.0,0.0
49,132.231,0.504,0.9698,-1.1631,62.107,4t4d,0.224,0.0,0.0
50,132.443,0.5241,1.0141,-1.1715,64.516,4t4d,0.23,0.0,0.0
51,132.652,0.5336,1.0364,-1.1744,65.625,4t4d,0.205,0.0,0.0
52,132.871,0.5603,1.1044,-1.1798,67.044,4t4d,0.253,0.0,6.27
53,133.085,0.5774,1.1476,-1.1833,67.086,4t4d,0.223,0.0,5.58
54,133.3,0.6027,1.2101,-1.1881,67.118,4t4d,0.224,0.0,9.39
55,133.531,0.6124,1.2337,-1.1891,67.124,4t4d,0.242,0.0,13.96
56,133.76,0.6375,1.2969,-1.1943,67.09,4t4d,0.201,0.0,7.42
57,133.979,0.6539,1.3377,-1.1973,67.082,4t4d,0.244,0.0,4.45
58,134.205,0.6787,1.3995,-1.2007,67.068,4t4d,0.228,0.0,0.0
59,134.42,0.6917,1.4327,-1.2027,67.06,4t4d,0.218,0.0,0.0
60,134.636,0.7115,1.4822,-1.2041,67.069,4t4d,0.222,0.0,0.0
61,134.848,0.7183,1.499,-1.2044,67.085,4t4d,0.186,0.0,0.0
62,135.07,0.739,1.5493,-1.2051,67.081,4t4d,0.208,0.0,0.0
63,135.292,0.7518,1.5815,-1.205,67.104,4t4d,0.228,0.0,0.0
64,135.502,0.7636,1.6113,-1.2033,67.194,4t4d,0.179,0.0,0.0
65,135.717,0.78,1.6515,-1.203,67.071,4t4d,0.167,0.0,0.0
66,135.928,0.7899,1.6769,-1.204,67.031,4t4d,0.168,0.0,0.0
67,136.138,0.8073,1.7208,-1.205,67.008,4t4d,0.183,0.0,0.0
68,136.352,0.8184,1.7485,-1.2064,67.059,4t4d,0.191,0.0,0.0
69,136.563,0.8292,1.7748,-1.2068,67.031,4t4d,0.193,0.0,0.0
70,136.792,0.835,1.7892,-1.2073,66.965,4t4d,0.207,0.0,0.0
71,137.001,0.8575,1.8462,-1.2075,66.979,4t4d,0.141,0.0,0.0
72,137.218,0.8681,1.8725,-1.208,66.932,4t4d,0.143,0.0,0.0
73,137.428,0.8783,1.8975,-1.2073,66.925,4t4d,0.158,0.0,0.0
74,137.637,0.8887,1.9225,-1.2077,67.043,4t4d,0.146,0.0,0.0
75,137.847,0.8996,1.9495,-1.2076,67.033,4t4d,0.152,0.0,0.0
76,138.062,0.9096,1.9729,-1.2067,67.09,4t4d,0.16,0.0,0.0
77,138.277,0.9299,2.0216,-1.2058,67.102,4t4d,0.147,0.0,0.0
78,138.491,0.9361,2.0365,-1.2053,67.012,4t4d,0.147,0.0,0.0
79,138.725,0.95,2.0708,-1.2059,67.014,4t4d,0.141,0.0,0.0
80,138.937,0.9717,2.1224,-1.2067,66.938,4t4d,0.173,0.0,0.0
81,139.146,0.9844,2.1539,-1.2073,66.893,4t4d,0.124,0.0,0.0
82,139.363,0.9978,2.1866,-1.2092,66.863,4t4d,0.174,0.0,0.0
83,139.574,1.0251,2.263,-1.219,66.834,4t4d,0.153,0.0,0.0
84,139.798,1.0453,2.3127,-1.2198,66.841,4t4d,0.187,0.0,0.0
85,140.01,1.0542,2.3393,-1.2175,67.028,4t4d,0.201,0.0,0.0
86,140.225,1.077,2.3954,-1.2188,66.993,4t4d,0.188,0.0,0.0
87,140.436,1.0884,2.4266,-1.2182,67.099,4t4d,0.209,0.0,0.0
88,140.645,1.1028,2.4607,-1.2185,67.064,4t4d,0.189,0.0,0.0
89,140.855,1.1165,2.4937,-1.2182,67.043,4t4d,0.199,0.0,0.0
90,141.066,1.1305,2.5279,-1.2189,66.994,4t4d,0.202,0.0,0.0
91,141.275,1.1429,2.5594,-1.2189,66.916,4t4d,0.198,0.0,0.0
92,141.496,1.1637,2.611,-1.2175,66.917,4t4d,0.133,0.0,0.0
93,141.72,1.1773,2.646,-1.2173,67.194,4t4d,0.188,0.0,0.0
94,141.938,1.1901,2.6803,-1.2172,67.665,4t4d,0.177,0.0,0.0
95,142.153,1.2051,2.7187,-1.2185,67.773,4t4d,0.189,0.0,0.0
96,142.37,1.2235,2.7665,-1.2179,67.833,4t4d,0.159,0.0,0.0
97,142.586,1.2374,2.8026,-1.2179,67.831,4t4d,0.161,0.0,0.0
98,142.815,1.2505,2.8363,-1.2184,67.837,4t4d,0.194,0.0,0.0
99,143.037,1.2648,2.8731,-1.2197,67.998,4t4d,0.183,0.0,3.3
100,143.252,1.2777,2.907,-1.2197,68.438,4t4d,0.188,0.0,0.0
101,143.465,1.2976,2.9596,-1.2197,68.543,4t4d,0.183,0.0,0.0
102,143.678,1.311,2.9962,-1.2199,68.612,4t4d,0.179,0.0,0.0
103,143.888,1.3239,3.0315,-1.2194,68.65,4t4d,0.181,0.0,0.0
104,144.099,1.337,3.067,-1.2194,68.724,4t4d,0.204,0.0,0.0
105,144.314,1.3562,3.1193,-1.2191,68.631,4t4d,0.186,0.0,0.0
106,144.528,1.3686,3.1524,-1.2208,68.566,4t4d,0.191,0.0,0.0
107,144.738,1.3828,3.1905,-1.2208,68.577,4t4d,0.198,0.0,0.0
108,144.954,1.3955,3.2251,-1.221,68.549,4t4d,0.167,0.0,0.0
109,145.165,1.4088,3.2613,-1.221,68.544,4t4d,0.187,0.0,0.0
110,145.374,1.421,3.2958,-1.2203,68.542,4t4d,0.174,0.0,0.0
111,145.583,1.4404,3.3488,-1.2212,68.536,4t4d,0.186,0.0,0.0
112,145.798,1.4536,3.3839,-1.221,68.544,4t4d,0.197,0.0,0.0
113,146.025,1.4664,3.4183,-1.2208,68.556,4t4d,0.195,0.0,0.0
114,146.238,1.4732,3.4357,-1.2208,68.557,4t4d,0.198,0.0,0.0
115,146.451,1.4994,3.5043,-1.2208,68.637,4t4d,0.17,0.0,0.0
116,146.668,1.5116,3.5377,-1.22,68.599,4t4d,0.185,0.0,0.0
117,146.881,1.5238,3.5706,-1.2198,68.581,4t4d,0.188,0.0,0.0
118,147.091,1.5361,3.6049,-1.2193,68.587,4t4d,0.185,0.0,0.0
119,147.302,1.5481,3.6377,-1.2193,68.602,4t4d,0.19,0.0,0.0
120,147.515,1.5607,3.671,-1.2191,68.532,4t4d,0.184,0.0,0.0
121,147.725,1.5742,3.707,-1.2192,68.593,4t4d,0.213,0.0,0.0
122,147.938,1.5856,3.7377,-1.2195,68.497,4t4d,0.208,0.0,0.0
123,148.152,1.5985,3.7721,-1.2199,68.466,4t4d,0.174,0.0,0.0
124,148.37,1.6188,3.8255,-1.2206,68.426,4t4d,0.171,0.0,0.0
125,148.588,1.6312,3.8586,-1.2204,68.396,4t4d,0.158,0.0,0.0
126,148.802,1.6492,3.9074,-1.2209,68.409,4t4d,0.177,0.0,0.0
127,149.019,1.6617,3.9402,-1.2217,68.323,4t4d,0.18,0.0,0.0
128,149.231,1.6676,3.9556,-1.2215,68.273,4t4d,0.181,0.0,0.0
129,149.445,1.6855,4.0029,-1.2218,68.201,4t4d,0.195,0.0,0.0
130,149.658,1.6979,4.0349,-1.2229,68.305,4t4d,0.186,0.0,0.0
131,149.868,1.7092,4.0647,-1.2244,68.334,4t4d,0.18,0.0,0.0
132,150.083,1.7267,4.1105,-1.2247,68.3,4t4d,0.183,0.0,0.0
133,150.294,1.7331,4.1268,-1.2248,68.297,4t4d,0.168,0.0,0.0
134,150.523,1.7519,4.175,-1.2254,68.269,4t4d,0.169,0.0,0.0
135,150.728,1.7581,4.1906,-1.2259,68.26,4t4d,0.15,0.0,0.0
136,150.944,1.7763,4.2371,-1.2268,68.153,4t4d,0.182,0.0,0.0
137,151.154,1.7953,4.2858,-1.2263,68.121,4t4d,0.145,0.0,0.0
138,151.364,1.8082,4.3186,-1.2257,68.107,4t4d,0.175,0.0,0.0
139,151.576,1.821,4.3513,-1.2252,68.078,4t4d,0.176,0.0,0.0
140,151.789,1.8347,4.386,-1.2246,68.04,4t4d,0.155,0.0,0.0
141,151.999,1.8476,4.4202,-1.2238,68.085,4t4d,0.191,0.0,0.0
142,152.211,1.8603,4.4528,-1.2237,68.015,4t4d,0.176,0.0,0.0
143,152.429,1.8733,4.4855,-1.2238,67.986,4t4d,0.178,0.0,0.0
144,152.641,1.8865,4.5208,-1.2234,68.133,4t4d,0.174,0.0,0.0
145,152.859,1.9064,4.5729,-1.2241,68.24,4t4d,0.181,0.0,0.0
146,153.069,1.9185,4.6052,-1.2238,68.456,4t4d,0.191,0.0,0.0
147,153.284,1.9368,4.6543,-1.2235,68.724,4t4d,0.177,0.0,0.0
148,153.494,1.9495,4.6867,-1.2236,68.724,4t4d,0.175,0.0,0.0
149,153.714,1.955,4.7013,-1.2233,68.738,4t4d,0.178,0.0,0.0
150,153.939,1.9696,4.7423,-1.2225,68.745,4t4d,0.19,0.0,0.0
151,154.156,1.9791,4.7686,-1.2215,68.67,4t4d,0.168,0.0,0.0
152,154.367,1.9947,4.8113,-1.2202,68.763,4t4d,0.192,0.0,0.0
153,154.583,2.0066,4.8426,-1.2205,68.603,4t4d,0.192,0.0,0.0
154,154.799,2.0172,4.8699,-1.221,68.558,4t4d,0.159,0.0,0.0
155,155.01,2.0297,4.9024,-1.2213,68.539,4t4d,0.141,0.0,0.0
156,155.219,2.0416,4.9337,-1.221,68.566,4t4d,0.15,0.0,0.0
157,155.434,2.0538,4.966,-1.2211,68.619,4t4d,0.158,0.0,0.0
158,155.644,2.0641,4.9941,-1.2229,68.562,4t4d,0.151,0.0,0.0
159,155.856,2.0774,5.0292,-1.2225,68.717,4t4d,0.148,0.0,0.0
160,156.067,2.0942,5.0763,-1.2226,68.722,4t4d,0.191,0.0,0.0
161,156.277,2.1064,5.1089,-1.2225,68.739,4t4d,0.169,0.0,0.0
162,156.485,2.1171,5.1376,-1.222,68.488,4t4d,0.165,0.0,0.0
163,156.694,2.1293,5.1687,-1.2225,68.31,4t4d,0.174,0.0,0.0
164,156.905,2.1481,5.2164,-1.2225,68.255,4t4d,0.128,0.0,0.0
165,157.117,2.1543,5.2318,-1.2226,68.2,4t4d,0.163,0.0,0.0
166,157.331,2.1663,5.2621,-1.2231,68.145,4t4d,0.182,0.0,0.0
167,157.559,2.1839,5.3066,-1.2234,68.1,4t4d,0.165,0.0,0.0
168,157.77,2.1962,5.3373,-1.224,68.01,4t4d,0.161,0.0,0.0
169,157.981,2.2127,5.38,-1.2238,67.903,4t4d,0.162,0.0,0.0
